Cislo zastavky;Zemepisna sirka;Zemepisna dlzka;Stat;Okres;Obec;Cast obce;Nazov zastavky
17;48,936011;18,797269;SK;TR;Abramová;;
18;48,929814;18,807656;SK;TR;Abramová;Laclavá;
19;48,91278;18,801611;SK;TR;Abramová;Laclavá;rázc,
212;0;0;SK;NO;Babín;;
213;49,331068;19,378124;SK;NO;Babín;;Šilák
222;49,149572;18,650572;SK;ZA;Lietavská Svinná;Babkov;horáreň
223;49,15821;18,644;SK;ZA;Lietavská Svinná;Babkov;Imrišek
224;49,155597;18,634842;SK;ZA;Lietavská Svinná;Babkov;konečná
698;49,246853;18,974658;SK;ZA;Belá;;Bránica
700;49,234675;18,946515;SK;ZA;Belá;;Diblov most
701;49,230247;18,947877;SK;ZA;Belá;;Ivanov most
703;49,225595;18,949138;SK;ZA;Belá;;konečná
704;49,247868;18,992279;SK;ZA;Belá;;Mažgutovia
706;49,247058;18,962217;SK;ZA;Belá;;osada Zlieň
707;0;0;SK;ZA;Belá;;OcÚ

